origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
101,5237054768,4989551.397281339,92.93443556005774,498191.9527376062,5487836.284454506
101,5237054769,4989551.397281339,72.17990701249997,1768481.394166306,6758104.971354658
101,5237054777,4989551.397281339,110.99529227516281,1180615.3604692237,6170277.753042839
101,5237054778,4989551.397281339,86.13595624932546,228966.82766807862,5218604.360905667
101,5237054779,4989551.397281339,82.68405674880852,544105.8732411974,5533739.954579285
101,5237054787,4989551.397281339,87.9518616168846,1325451.3850898612,6315090.734232818
101,5237054788,4989551.397281339,66.33093130777054,611736.6195461443,5601354.347758791
101,5237054789,4989551.397281339,54.523387113187724,5173764.314805141,10163370.235473594
101,5237054799,4989551.397281339,39.36696266424853,2046611.5852875996,7036202.349531603
101,5237054842,4989551.397281339,72.68475169068003,3161737.4911596114,8151361.573192641
101,5237054835,4989551.397281339,106.9060699429951,2436790.9367059,7426449.240057182
101,5237054845,4989551.397281339,108.27423239924339,330435.5002286607,5320095.1717424
101,5237054851,4989551.397281339,85.38337146502201,3587753.964684546,8577390.74533735
101,5237054852,4989551.397281339,62.365772851328785,4627247.7270317525,9616861.490085945
101,5237054853,4989551.397281339,79.70155322239623,2999909.938806082,7989541.037640644
101,5237054860,4989551.397281339,83.55283698067153,1878958.8987575748,6868593.848875895
101,5237054861,4989551.397281339,65.76749959872176,1290379.2926836608,6279996.457464599
101,5237054862,4989551.397281339,43.32889521986954,841977.8708601726,5831572.597036731
101,5237054863,4989551.397281339,55.7983578667594,518520.50004400674,5508127.695683213
101,5237054864,4989551.397281339,75.70651953009961,160026.29752999512,5149653.401330865
101,5237054870,4989551.397281339,58.50058900789525,3537254.9806068614,8526864.878477208
101,5237054871,4989551.397281339,56.58816892048782,974649.7848992887,5964257.770349549
101,5237054872,4989551.397281339,37.92183032920186,522124.8973215438,5511714.216433212
101,5237054873,4989551.397281339,61.356147353626284,1597674.2899898007,6587287.043418493
101,5237054874,4989551.397281339,74.52063850356946,1091485.6976675421,6081111.615587384
101,5237054880,4989551.397281339,38.68615301893683,1443378.4006338401,6432968.484068198
101,5237054881,4989551.397281339,45.893670720989334,36316.10299967374,5025913.3939517345
101,5237054882,4989551.397281339,33.13653244440317,840340.5839460565,5829925.117759841
101,5237054883,4989551.397281339,57.935675225035524,1622567.5845758705,6612176.917532435
101,5237054884,4989551.397281339,66.63551039054117,672588.0529869157,5662206.085778646
101,5237054890,4989551.397281339,25.63543597032856,1905562.4378368577,6895139.470554167
101,5237054891,4989551.397281339,29.287839592676097,733402.2706266667,5722982.955747599
101,5237054892,4989551.397281339,28.698490578317887,1886440.1860757777,6876020.281847696
101,5237054893,4989551.397281339,35.54491753760183,2652056.6488312483,7641643.5910301255
101,5237054894,4989551.397281339,42.45718043189338,3129341.7815478384,8118935.636009609
101,5237054855,4989551.397281339,92.92570619640334,648616.6759546704,5638260.998942207
101,5237054856,4989551.397281339,92.95480761877072,2314909.6834243615,7304554.035513319
101,5237054857,4989551.397281339,128.44567542661798,390200.47681280365,5379880.319769569
101,5237054865,4989551.397281339,76.29329579727762,686758.2815239617,5676385.972101098
101,5237054866,4989551.397281339,86.1042059455133,53166.4500292542,5042803.951516539
101,5237054875,4989551.397281339,73.1916697159612,272074.0122678777,5261698.601218932
101,5237054885,4989551.397281339,66.78975104147966,950912.3101427994,5940530.49717518
101,5237054895,4989551.397281339,55.579518947224464,486792.97937380493,5476399.956174091
101,5237055708,4989551.397281339,45.16069588788015,306195.3782535352,5295791.936230763
101,5237055709,4989551.397281339,36.50164217797834,1072172.3846140848,6061760.283537602
101,5237055717,4989551.397281339,49.10758962078724,2074692.6097514736,7064293.114622435
101,5237055719,4989551.397281339,41.67948875946438,1018776.174071484,6008369.250841583
101,5237055726,4989551.397281339,73.67419693441369,1262154.6598545557,6251779.731332829
101,5237055727,4989551.397281339,56.05623205008027,1281064.2561413995,6270671.709654789
101,5237055728,4989551.397281339,33.17689973159126,586908.3049866384,5576492.879167709
101,5237055729,4989551.397281339,13.770611957970537,1630823.9134526814,6620389.081345978
101,5237055736,4989551.397281339,98.78258858154712,1238534.5962847304,6228184.776154651
101,5237055737,4989551.397281339,50.60286811622305,55573.381579422465,5045175.381728878
101,5237055738,4989551.397281339,26.737140856180226,1209313.845199869,6198891.979622064
101,5237055739,4989551.397281339,27.102962985861957,1337284.8412365003,6326863.341480825
101,5237055747,4989551.397281339,52.88124405165552,1359182.0500045328,6348786.328529923
101,5237055748,4989551.397281339,43.078036783243746,400592.1566317713,5390186.631949894
101,5237055749,4989551.397281339,35.36476572382809,12923449.102359338,17913035.8644064
101,5237055758,4989551.397281339,41.86551449513833,9368240.098120715,14357833.360916551
101,5237055800,4989551.397281339,26.347644506222522,1485675.3477677556,6475253.092693601
101,5237055801,4989551.397281339,31.978849377919563,985755.5355661613,5975338.911696878
101,5237055802,4989551.397281339,36.809920458746845,479911.79296779464,5469500.000169593
101,5237055803,4989551.397281339,51.025021611508876,244733.9571296836,5234336.379432634
101,5237055804,4989551.397281339,55.12716030366187,678579.4737959679,5668185.998237611
101,5237055810,4989551.397281339,8.22279913073861,4187381.8183949674,9176941.438475437
101,5237055811,4989551.397281339,20.526855482163434,1512287.9249751489,6501859.8491119705
101,5237055812,4989551.397281339,32.419495868370184,1402244.8249186263,6391828.641695835
101,5237055813,4989551.397281339,41.746494986284816,1159858.8480904356,6149451.991866761
101,5237055814,4989551.397281339,55.88107256206232,3101737.353735578,8091344.632089479
101,5237055820,4989551.397281339,3.554920993251658,33383.47996229634,5022938.432164629
